date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:06:48	8959/8959	---MC-	200	added ('OK')	text/html	date:Thu,%2011%20May%202023%2023:06:46%20GMT	https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812	D:/Randiss/niueship.com/registry/services/authenticate28f1.html	(from )
06:06:48	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202023%2023:06:47%20GMT	https://niueship.com/robots.txt		(from )
06:06:48	152717/152717	---M--	200	added ('OK')	text/css	etag:%221d548201247c58d%22	https://niueship.com/registry/lib/bootstrap/dist/css/bootstrap.css	D:/Randiss/niueship.com/registry/lib/bootstrap/dist/css/bootstrap.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:48	61279/61279	---M--	200	added ('OK')	text/css	etag:%221d5bc998bdf605f%22	https://niueship.com/registry/css/site.css?v=2.2	D:/Randiss/niueship.com/registry/css/site6da2.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:49	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20May%202023%2023:06:48%20GMT	https://niueship.com/images/loader/ajax-loader.gif	D:/Randiss/niueship.com/images/loader/ajax-loader.3.delayed	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:49	6690/6690	---M--	200	added ('OK')	image/gif	etag:%221d54820107bd7a2%22	https://niueship.com/registry/images/loader/ajax-loader.gif	D:/Randiss/niueship.com/registry/images/loader/ajax-loader.gif	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:49	6951/6951	---M--	200	added ('OK')	text/css	etag:%221d3fdfd7677f027%22	https://niueship.com/registry/css/magnific-popup.css	D:/Randiss/niueship.com/registry/css/magnific-popup.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:50	61279/61279	---M--	200	added ('OK')	text/css	etag:%221d5bc998bdf605f%22	https://niueship.com/registry/css/site.css	D:/Randiss/niueship.com/registry/css/site.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:50	7255/7255	---M--	200	added ('OK')	image/png	etag:%221d5482011147857%22	https://niueship.com/registry/images/warning.png	D:/Randiss/niueship.com/registry/images/warning.png	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:50	72084/72084	---M--	200	added ('OK')	application/javascript	etag:%221d5482012448894%22	https://niueship.com/registry/lib/bootstrap/dist/js/bootstrap.js	D:/Randiss/niueship.com/registry/lib/bootstrap/dist/js/bootstrap.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:51	539427/539427	---M--	200	added ('OK')	application/javascript	etag:%221d54820124daa23%22	https://niueship.com/registry/lib/jquery/jquery-ui-1.12.1.custom/jquery-ui-1.12.1.custom/jquery-ui.js	D:/Randiss/niueship.com/registry/lib/jquery/jquery-ui-1.12.1.custom/jquery-ui-1.12.1.custom/jquery-ui.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:51	84253/84253	---M--	200	added ('OK')	application/javascript	etag:%221d548201244d81d%22	https://niueship.com/registry/lib/jquery/jquery-2.1.1.min.js	D:/Randiss/niueship.com/registry/lib/jquery/jquery-2.1.1.min.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
06:06:52	43589/43589	---M--	200	added ('OK')	application/javascript	etag:%221d548201114ce45%22	https://niueship.com/registry/js/jquery.magnific-popup.js	D:/Randiss/niueship.com/registry/js/jquery.magnific-popup.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
